state_id,domain,entity_id,state,attributes,event_id,last_changed,last_updated,created,old_state_id
356146,sensor,sensor.xiaomiht_temp,28.83,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",374921,2021-07-13 17:19:30.171882,2021-07-13 17:19:30.171882,2021-07-13 17:19:30.171882,355506.0
356147,sensor,sensor.xiaomiht_humi,82.85,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",374922,2021-07-13 17:19:30.172958,2021-07-13 17:19:30.172958,2021-07-13 17:19:30.172958,355507.0
356202,binary_sensor,binary_sensor.xiaomiac,off,"{""friendly_name"": ""Aircond"", ""icon"": ""mdi:air-conditioner"", ""device_class"": ""power""}",375150,2021-07-13 17:20:38.457348,2021-07-13 17:20:38.457348,2021-07-13 17:20:38.457348,
356238,sensor,sensor.sonoffht_temp,29.17,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",375186,2021-07-13 17:20:38.831515,2021-07-13 17:20:38.831515,2021-07-13 17:20:38.831515,
356239,sensor,sensor.sonoffht_humi,unknown,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",375187,2021-07-13 17:20:38.832415,2021-07-13 17:20:38.832415,2021-07-13 17:20:38.832415,
356241,sensor,sensor.xiaomiht_temp,28.83,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",375189,2021-07-13 17:20:39.003989,2021-07-13 17:20:39.003989,2021-07-13 17:20:39.003989,
356242,sensor,sensor.xiaomiht_humi,82.85,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",375190,2021-07-13 17:20:39.016516,2021-07-13 17:20:39.016516,2021-07-13 17:20:39.016516,
356245,switch,switch.br3wallfan,off,"{""friendly_name"": ""Fan"", ""icon"": ""mdi:fan""}",375193,2021-07-13 17:20:39.166138,2021-07-13 17:20:39.166138,2021-07-13 17:20:39.166138,
356246,switch,switch.br3walllight,off,"{""friendly_name"": ""Light"", ""icon"": ""mdi:ceiling-light""}",375194,2021-07-13 17:20:39.173914,2021-07-13 17:20:39.173914,2021-07-13 17:20:39.173914,
356285,switch,switch.airpurifier,off,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",375349,2021-07-13 17:22:35.979880,2021-07-13 17:22:35.979880,2021-07-13 17:22:35.979880,
356317,switch,switch.airpurifier,on,"{""friendly_name"": ""Air Purifier"", ""icon"": ""mdi:air-purifier""}",375401,2021-07-13 17:22:37.097850,2021-07-13 17:22:37.097850,2021-07-13 17:22:37.097850,356285.0
356425,sensor,sensor.sonoffht_humi,88.36,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",375549,2021-07-13 17:25:45.643479,2021-07-13 17:25:45.643479,2021-07-13 17:25:45.643479,356239.0
356777,sensor,sensor.xiaomiht_temp,29.03,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",375927,2021-07-13 17:50:48.308984,2021-07-13 17:50:48.308984,2021-07-13 17:50:48.308984,356241.0
356778,sensor,sensor.xiaomiht_humi,83.43,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",375928,2021-07-13 17:50:48.309633,2021-07-13 17:50:48.309633,2021-07-13 17:50:48.309633,356242.0
356787,sensor,sensor.sonoffht_humi,89.58,"{""unit_of_measurement"": ""%"", ""friendly_name"": ""Humidity"", ""device_class"": ""humidity""}",375937,2021-07-13 17:51:24.095953,2021-07-13 17:51:24.095953,2021-07-13 17:51:24.095953,356425.0
357004,sensor,sensor.sonoffht_temp,28.95,"{""unit_of_measurement"": ""C"", ""friendly_name"": ""Temperature"", ""device_class"": ""temperature""}",376166,2021-07-13 18:09:25.420381,2021-07-13 18:09:25.420381,2021-07-13 18:09:25.420381,356238.0
